index,Player,Opp_Team,Opp_Team_W/L %,Opp_Winning_Record,Opp_Playoff_Team,Opp_Team_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
23,James_Harden,Portland,0.5,Yes,Yes,41,3,3,103,29,69,10,33,26,31,4,22,28,6,1,15,8,94,0.42,0.303,0.839,0.569,40,117,112,13.4,34.2,31.3,7.3,9.3,2017
24,James_Harden,Sacramento,0.39,No,No,32,4,4,138,22,56,11,35,28,29,1,38,47,3,0,25,6,83,0.393,0.314,0.966,0.604,30.1,113,104,21.9,34.4,20.8,9.5,11.8,2017
25,James_Harden,San Antonio,0.744,Yes,Yes,61,4,4,153,39,83,10,34,31,36,10,36,47,2,0,25,5,119,0.47,0.294,0.861,0.602,34.9,117,112,3.9,38.1,29.8,9,11.8,2017
26,James_Harden,Toronto,0.622,Yes,Yes,51,2,2,78,20,39,7,17,22,22,3,16,26,4,3,22,7,69,0.513,0.412,1,0.709,38,113,116,-9.1,39.2,34.5,8,13,2017
27,James_Harden,Utah,0.622,Yes,Yes,51,3,3,107,28,69,6,24,30,35,3,13,23,4,3,8,7,92,0.406,0.25,0.857,0.545,39,116,124,-9.9,35.7,30.7,4.3,7.7,2017
28,James_Harden,Washington,0.598,Yes,Yes,49,2,2,82,15,43,5,18,20,21,1,15,25,3,0,13,3,55,0.349,0.278,0.952,0.526,35.9,105,102,13.6,40.9,27.5,7.5,12.5,2017
29,Lebron_James,Atlanta,0.524,Yes,Yes,43,4,4,164,45,80,10,20,20,29,7,46,30,6,0,11,13,120,0.563,0.5,0.69,0.647,27.9,129,116,-0.3,41.1,30,11.5,7.5,2017
30,Lebron_James,Boston,0.646,Yes,Yes,53,4,4,159,45,83,7,20,20,27,10,38,39,4,6,17,10,117,0.542,0.35,0.741,0.617,30.5,124,111,15.3,39.7,29.3,9.5,9.8,2017
31,Lebron_James,Brooklyn,0.244,No,No,20,3,3,97,34,54,1,7,17,23,1,18,23,6,0,11,3,86,0.63,0.143,0.739,0.671,31.6,124,102,35.1,32.3,28.7,6,7.7,2017
32,Lebron_James,Chicago,0.5,Yes,Yes,41,3,3,121,36,63,3,12,9,16,3,23,28,2,1,17,4,84,0.571,0.25,0.563,0.6,32.6,109,113,-7.7,40.2,28,7.7,9.3,2017
